CSOPESY Emulator Execution Report
Generated on: (06/26/2026 05:30:30AM)
---------------------------------------------------------------------------
CPU Utilization: 100.00%
Core Used: 4 | Cores Available: 0
---------------------------------------------------------------------------
Process Name   Arrival Time             Status      Instructions   Core
p99            (06/26/2026 05:30:19AM)  Finished    156/156        3
p100           (06/26/2026 05:30:19AM)  Finished    133/133        2
p101           (06/26/2026 05:30:19AM)  Finished    152/152        0
p102           (06/26/2026 05:30:19AM)  Finished    110/110        1
p103           (06/26/2026 05:30:19AM)  Finished    116/116        3
p104           (06/26/2026 05:30:19AM)  Finished    117/117        2
p105           (06/26/2026 05:30:19AM)  Finished    104/104        1
p106           (06/26/2026 05:30:19AM)  Finished    104/104        0
p107           (06/26/2026 05:30:19AM)  Finished    111/111        3
p108           (06/26/2026 05:30:19AM)  Finished    136/136        2
p109           (06/26/2026 05:30:19AM)  Finished    167/167        0
p110           (06/26/2026 05:30:19AM)  Finished    139/139        1
p111           (06/26/2026 05:30:19AM)  Finished    125/125        3
p112           (06/26/2026 05:30:19AM)  Finished    114/114        2
p113           (06/26/2026 05:30:19AM)  Finished    130/130        1
p114           (06/26/2026 05:30:19AM)  Finished    148/148        3
p115           (06/26/2026 05:30:19AM)  Finished    130/130        0
p116           (06/26/2026 05:30:19AM)  Finished    120/120        2
p117           (06/26/2026 05:30:19AM)  Finished    131/131        1
p118           (06/26/2026 05:30:19AM)  Finished    119/119        3
p119           (06/26/2026 05:30:19AM)  Finished    114/114        0
p120           (06/26/2026 05:30:19AM)  Finished    125/125        2
p121           (06/26/2026 05:30:19AM)  Finished    124/124        3
p122           (06/26/2026 05:30:19AM)  Finished    110/110        0
p123           (06/26/2026 05:30:19AM)  Finished    110/110        1
p124           (06/26/2026 05:30:19AM)  Finished    126/126        2
p125           (06/26/2026 05:30:19AM)  Finished    136/136        0
p126           (06/26/2026 05:30:19AM)  Finished    127/127        3
p127           (06/26/2026 05:30:19AM)  Finished    163/163        1
p128           (06/26/2026 05:30:19AM)  Finished    144/144        2
p129           (06/26/2026 05:30:19AM)  Finished    127/127        0
p130           (06/26/2026 05:30:19AM)  Finished    143/143        3
p131           (06/26/2026 05:30:19AM)  Finished    113/113        1
p132           (06/26/2026 05:30:19AM)  Finished    110/110        0
p133           (06/26/2026 05:30:19AM)  Finished    114/114        3
p134           (06/26/2026 05:30:19AM)  Finished    153/153        2
p135           (06/26/2026 05:30:19AM)  Finished    123/123        1
p136           (06/26/2026 05:30:19AM)  Finished    107/107        0
p137           (06/26/2026 05:30:19AM)  Finished    144/144        3
p138           (06/26/2026 05:30:19AM)  Finished    127/127        2
p139           (06/26/2026 05:30:19AM)  Finished    118/118        1
p140           (06/26/2026 05:30:19AM)  Finished    135/135        0
p141           (06/26/2026 05:30:19AM)  Finished    129/129        3
p142           (06/26/2026 05:30:19AM)  Finished    145/145        1
p143           (06/26/2026 05:30:19AM)  Finished    136/136        2
p144           (06/26/2026 05:30:19AM)  Finished    123/123        0
p145           (06/26/2026 05:30:19AM)  Finished    109/109        3
p146           (06/26/2026 05:30:19AM)  Finished    120/120        1
p147           (06/26/2026 05:30:19AM)  Finished    145/145        2
p148           (06/26/2026 05:30:19AM)  Finished    115/115        3
